car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Kia Sorento Signature 2.2 AT AWD,2020,899 Triệu,Lắp ráp trong nước,SUV,"60,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-5592154
Maserati Levante S GranSport 3.0 V6,2018,3 Tỷ 950 Triệu,Nhập khẩu,SUV,0 Km,Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-maserati-levante-s-gransport-3.0-v6-2018-5008976
Kia Sorento GATH,2018,568 Triệu,Lắp ráp trong nước,SUV,"80,000 Km",Xăng  2.4 L,Số tự động,https://bonbanh.com/xe-kia-sorento-gath-2018-5596695
Toyota Land Cruiser 5.7 V8,2016,3 Tỷ 868 Triệu,Nhập khẩu,SUV,0 Km,Xăng  5.7 L,Số tự động,https://bonbanh.com/xe-toyota-land_cruiser-5.7-v8-2016-5416750
Mazda CX8 Premium AWD,2022,929 Triệu,Lắp ráp trong nước,SUV,"50,000 Km",Xăng  2.5 L,Số tự động,https://bonbanh.com/xe-mazda-cx8-premium-awd-2022-5609748
Ford Focus Titanium 2.0 AT,2014,325 Triệu,Lắp ráp trong nước,Sedan,0 Km,Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-ford-focus-titanium-2.0-at-2014-5641034
Nissan Almera 1.0 MT,2022,369 Triệu,Nhập khẩu,Sedan,"25,000 Km",Xăng  1.0 L,Số tay,https://bonbanh.com/xe-nissan-almera-1.0-mt-2022-5641038
Bentley Mulsanne 6.75 V8,2011,4 Tỷ 900 Triệu,Nhập khẩu,Sedan,"80,000 Km",Xăng  6.8 L,Số tự động,https://bonbanh.com/xe-bentley-mulsanne-6.75-v8-2011-5342731
LandRover Range Rover Autobiography LWB 3.0 I6,2021,6 Tỷ 950 Triệu,Nhập khẩu,SUV,0 Km,Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-2021-5323957
Hyundai Accent 1.4 AT,2023,465 Triệu,Lắp ráp trong nước,Sedan,"15,000 Km",Xăng  1.4 L,Số tự động,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5641036
Chevrolet Captiva LT 2.0 MT,2009,255 Triệu,Lắp ráp trong nước,SUV,0 Km,Dầu  2.0 L,Số tay,https://bonbanh.com/xe-chevrolet-captiva-lt-2.0-mt-2009-5641031
Honda CRV 2.4 AT,2013,459 Triệu,Lắp ráp trong nước,SUV,"100,000 Km",Xăng  2.4 L,Số tự động,https://bonbanh.com/xe-honda-crv-2.4-at-2013-5630484
Toyota Wigo 1.2 AT,2021,305 Triệu,Nhập khẩu,Hatchback,"60,000 Km",Xăng  1.2 L,Số tự động,https://bonbanh.com/xe-toyota-wigo-1.2-at-2021-5583821
Mercedes Benz C class C200,2015,625 Triệu,Lắp ráp trong nước,Sedan,0 Km,Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2015-5641032
Toyota Yaris 1.3 AT,2013,335 Triệu,Nhập khẩu,Hatchback,"50,000 Km",Xăng  1.3 L,Số tự động,https://bonbanh.com/xe-toyota-yaris-1.3-at-2013-5520053
Mazda CX5 2.0 AT,2018,638 Triệu,Lắp ráp trong nước,SUV,"75,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mazda-cx5-2.0-at-2018-5601493
Hyundai SantaFe Cao cấp 2.2L HTRAC,2022,1 Tỷ 145 Triệu,Lắp ráp trong nước,SUV,"20,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-5637862
BMW 7 Series 730Li M Sport,2022,3 Tỷ 368 Triệu,Nhập khẩu,Sedan,"14,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-bmw-7_series-730li-m-sport-2022-5413541
Lexus ES 250,2015,1 Tỷ 179 Triệu,Nhập khẩu,Sedan,"104,000 Km",Xăng  2.5 L,Số tự động,https://bonbanh.com/xe-lexus-es-250-2015-5637836
Toyota Wigo 1.2G AT,2018,288 Triệu,Nhập khẩu,Hatchback,"57,000 Km",Xăng  1.2 L,Số tự động,https://bonbanh.com/xe-toyota-wigo-1.2g-at-2018-5633645
Mazda CX8 Premium AWD,2022,929 Triệu,Lắp ráp trong nước,SUV,"50,000 Km",Xăng  2.5 L,Số tự động,https://bonbanh.com/xe-mazda-cx8-premium-awd-2022-5609748
Kia Sorento Signature 2.2 AT AWD,2020,899 Triệu,Lắp ráp trong nước,SUV,"60,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-5592154
Kia Sorento GATH,2018,568 Triệu,Lắp ráp trong nước,SUV,"80,000 Km",Xăng  2.4 L,Số tự động,https://bonbanh.com/xe-kia-sorento-gath-2018-5596695
Maserati Levante S GranSport 3.0 V6,2018,3 Tỷ 950 Triệu,Nhập khẩu,SUV,0 Km,Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-maserati-levante-s-gransport-3.0-v6-2018-5008976
Toyota Land Cruiser 5.7 V8,2016,3 Tỷ 868 Triệu,Nhập khẩu,SUV,0 Km,Xăng  5.7 L,Số tự động,https://bonbanh.com/xe-toyota-land_cruiser-5.7-v8-2016-5416750
LandRover Range Rover Autobiography LWB 3.0 I6,2021,6 Tỷ 950 Triệu,Nhập khẩu,SUV,0 Km,Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-2021-5323957
Nissan Almera 1.0 MT,2022,369 Triệu,Nhập khẩu,Sedan,"25,000 Km",Xăng  1.0 L,Số tay,https://bonbanh.com/xe-nissan-almera-1.0-mt-2022-5641038
Bentley Mulsanne 6.75 V8,2011,4 Tỷ 900 Triệu,Nhập khẩu,Sedan,"80,000 Km",Xăng  6.8 L,Số tự động,https://bonbanh.com/xe-bentley-mulsanne-6.75-v8-2011-5342731
Ford Focus Titanium 2.0 AT,2014,325 Triệu,Lắp ráp trong nước,Sedan,0 Km,Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-ford-focus-titanium-2.0-at-2014-5641034
Hyundai Accent 1.4 AT,2023,465 Triệu,Lắp ráp trong nước,Sedan,"15,000 Km",Xăng  1.4 L,Số tự động,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5641036
Mercedes Benz C class C200,2015,625 Triệu,Lắp ráp trong nước,Sedan,0 Km,Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2015-5641032
Honda CRV 2.4 AT,2013,459 Triệu,Lắp ráp trong nước,SUV,"100,000 Km",Xăng  2.4 L,Số tự động,https://bonbanh.com/xe-honda-crv-2.4-at-2013-5630484
Chevrolet Captiva LT 2.0 MT,2009,255 Triệu,Lắp ráp trong nước,SUV,0 Km,Dầu  2.0 L,Số tay,https://bonbanh.com/xe-chevrolet-captiva-lt-2.0-mt-2009-5641031
