car_name,year,price,assemble_place,series,km,engine_type,transmission,url,brand,model
Kia Sorento Signature 2.2 AT AWD,2020,899000000.0,Lắp ráp trong nước,SUV,60000,Dầu,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-5592154,Kia,Sorento Signature 2.2 AT AWD
Kia Sorento GATH,2018,568000000.0,Lắp ráp trong nước,SUV,80000,Xăng,Số tự động,https://bonbanh.com/xe-kia-sorento-gath-2018-5596695,Kia,Sorento GATH
Mazda CX8 Premium AWD,2022,929000000.0,Lắp ráp trong nước,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx8-premium-awd-2022-5609748,Mazda,CX8 Premium AWD
Nissan Almera 1.0 MT,2022,369000000.0,Nhập khẩu,Sedan,25000,Xăng,Số tay,https://bonbanh.com/xe-nissan-almera-1.0-mt-2022-5641038,Nissan,Almera 1.0 MT
Bentley Mulsanne 6.75 V8,2011,4900000000.0,Nhập khẩu,Sedan,80000,Xăng,Số tự động,https://bonbanh.com/xe-bentley-mulsanne-6.75-v8-2011-5342731,Bentley,Mulsanne 6.75 V8
Hyundai Accent 1.4 AT,2023,465000000.0,Lắp ráp trong nước,Sedan,15000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5641036,Hyundai,Accent 1.4 AT
Honda CRV 2.4 AT,2013,459000000.0,Lắp ráp trong nước,SUV,100000,Xăng,Số tự động,https://bonbanh.com/xe-honda-crv-2.4-at-2013-5630484,Honda,CRV 2.4 AT
Toyota Wigo 1.2 AT,2021,305000000.0,Nhập khẩu,Hatchback,60000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-wigo-1.2-at-2021-5583821,Toyota,Wigo 1.2 AT
Toyota Yaris 1.3 AT,2013,335000000.0,Nhập khẩu,Hatchback,50000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-yaris-1.3-at-2013-5520053,Toyota,Yaris 1.3 AT
Mazda CX5 2.0 AT,2018,638000000.0,Lắp ráp trong nước,SUV,75000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-2.0-at-2018-5601493,Mazda,CX5 2.0 AT
Hyundai SantaFe Cao cấp 2.2L HTRAC,2022,1145000000.0,Lắp ráp trong nước,SUV,20000,Dầu,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-5637862,Hyundai,SantaFe Cao cấp 2.2L HTRAC
BMW 7 Series 730Li M Sport,2022,3368000000.0,Nhập khẩu,Sedan,14000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-7_series-730li-m-sport-2022-5413541,BMW,7 Series 730Li M Sport
Lexus ES 250,2015,1179000000.0,Nhập khẩu,Sedan,104000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-es-250-2015-5637836,Lexus,ES 250
Toyota Wigo 1.2G AT,2018,288000000.0,Nhập khẩu,Hatchback,57000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-wigo-1.2g-at-2018-5633645,Toyota,Wigo 1.2G AT
Mazda 3 1.5L Luxury,2021,565000000.0,Lắp ráp trong nước,Sedan,22000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2021-5623558,Mazda,3 1.5L Luxury
Honda CRV L,2018,745000000.0,Nhập khẩu,SUV,40000,Xăng,Số tự động,https://bonbanh.com/xe-honda-crv-l-2018-5596321,Honda,CRV L
Mercedes Benz GLA class GLA 200,2016,600000000.0,Nhập khẩu,SUV,78000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-gla_class-gla-200-2016-5478715,Mercedes,Benz GLA class GLA 200
BMW 5 Series 520i M Sport,2021,1799000000.0,Nhập khẩu,Sedan,24000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-5_series-520i-m-sport-2021-5250937,BMW,Other
Mazda CX5 2.0 Premium,2020,730000000.0,Lắp ráp trong nước,SUV,63000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-2.0-premium-2020-5636535,Mazda,CX5 2.0 Premium
Kia Carens 1.5D Signature,2022,760000000.0,Lắp ráp trong nước,SUV,25000,Dầu,Số tự động,https://bonbanh.com/xe-kia-carens-1.5d-signature-2022-5626918,Kia,Carens 1.5D Signature
Hyundai Tucson 2.0 AT Đặc biệt,2021,750000000.0,Lắp ráp trong nước,Crossover,19000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2021-5630532,Hyundai,Tucson 2.0 AT Đặc biệt
Hyundai i10 Grand 1.2 AT,2020,340000000.0,Lắp ráp trong nước,Sedan,54000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2020-5533786,Hyundai,i10 Grand 1.2 AT
Ford EcoSport Titanium 1.5L AT,2018,428000000.0,Lắp ráp trong nước,SUV,70000,Xăng,Số tự động,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-5626611,Ford,EcoSport Titanium 1.5L AT
Ford EcoSport Titanium 1.5L AT,2017,358000000.0,Lắp ráp trong nước,SUV,120000,Xăng,Số tự động,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2017-5626613,Ford,EcoSport Titanium 1.5L AT
Toyota Hilux 2.4E 4x2 AT,2019,590000000.0,Nhập khẩu,Pickup,75000,Dầu,Số tự động,https://bonbanh.com/xe-toyota-hilux-2.4e-4x2-at-2019-5613202,Toyota,Hilux 2.4E 4x2 AT
Toyota Camry 2.0G,2021,889000000.0,Nhập khẩu,Sedan,60000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.0g-2021-5557572,Toyota,Camry 2.0G
Mitsubishi Triton Athlete 4x2 AT,2022,679000000.0,Nhập khẩu,Pickup,50000,Dầu,Số tự động,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x2-at-2022-5578158,Mitsubishi,Triton Athlete 4x2 AT
Peugeot 2008 GT Line 1.2 AT,2020,639000000.0,Lắp ráp trong nước,Crossover,40000,Xăng,Số tự động,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2020-5620539,Peugeot,2008 GT Line 1.2 AT
Peugeot 3008 GT,2022,868000000.0,Lắp ráp trong nước,Crossover,10000,Xăng,Số tự động,https://bonbanh.com/xe-peugeot-3008-gt-2022-5543677,Peugeot,3008 GT
Peugeot 2008 GT Line 1.2 AT,2022,695000000.0,Lắp ráp trong nước,Crossover,40000,Xăng,Số tự động,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2022-5593734,Peugeot,2008 GT Line 1.2 AT
