year,price,assemble_place,series,km,transmission,brand,model,engine_type_Dầu,engine_type_Hybrid,engine_type_Xăng,engine_type_Điện
2020.0,899000000.0,0,1340081238.3129025,60000,1,602770814.6821845,1009069229.1180403,True,False,False,False
2018.0,568000000.0,0,1340081238.3129025,80000,1,602770814.6821845,502559427.996267,False,False,True,False
2022.0,929000000.0,0,1340081238.3129025,50000,1,617414728.6821705,951902663.8716313,False,False,True,False
2022.0,369000000.0,1,890267510.9847506,25000,0,475666903.30556136,377085205.4129255,False,False,True,False
2011.0,4900000000.0,1,890267510.9847506,80000,1,1625611526.5336785,4775660602.517096,False,False,True,False
2023.0,465000000.0,0,890267510.9847506,15000,1,626013768.115942,432745639.2647257,False,False,True,False
2013.0,459000000.0,0,1340081238.3129025,100000,1,610670124.4813278,467844092.42034936,False,False,True,False
2021.0,305000000.0,1,368454183.26693225,60000,1,926278793.0301743,354344656.3722772,False,False,True,False
2013.0,335000000.0,1,368454183.26693225,50000,1,926278793.0301743,279028207.6923051,False,False,True,False
2018.0,638000000.0,0,1340081238.3129025,75000,1,617414728.6821705,601534180.3913645,False,False,True,False
2022.0,1145000000.0,0,1340081238.3129025,20000,1,626013768.115942,1108082541.9967544,True,False,False,False
2022.0,3368000000.0,1,890267510.9847506,14000,1,1492717647.0292268,3223726825.7574477,False,False,True,False
2015.0,1179000000.0,1,890267510.9847506,104000,1,2672617582.4175825,1741197639.027653,False,False,True,False
2018.0,288000000.0,1,368454183.26693225,57000,1,926278793.0301743,292825359.80706006,False,False,True,False
2021.0,565000000.0,0,890267510.9847506,22000,1,617414728.6821705,573484721.2032082,False,False,True,False
2018.0,745000000.0,1,1340081238.3129025,40000,1,610670124.4813278,868656296.2811185,False,False,True,False
2016.0,600000000.0,1,1340081238.3129025,78000,1,1675078982.597055,557949723.572986,False,False,True,False
2021.0,1799000000.0,1,890267510.9847506,24000,1,1492717647.0292268,1033213223.4985261,False,False,True,False
2020.0,730000000.0,0,1340081238.3129025,63000,1,617414728.6821705,743920536.477261,False,False,True,False
2022.0,760000000.0,0,1340081238.3129025,25000,1,602770814.6821845,758774074.9178945,True,False,False,False
2021.0,750000000.0,0,595104831.3582498,19000,1,626013768.115942,783812437.9794878,False,False,True,False
2020.0,340000000.0,0,890267510.9847506,54000,1,626013768.115942,329321670.3652206,False,False,True,False
2018.0,428000000.0,0,1340081238.3129025,70000,1,763160262.4179944,406057435.3544066,False,False,True,False
2017.0,358000000.0,0,1340081238.3129025,120000,1,763160262.4179944,406057435.3544066,False,False,True,False
2019.0,590000000.0,1,671747559.274756,75000,1,926278793.0301743,590823688.8486202,True,False,False,False
2021.0,889000000.0,1,890267510.9847506,60000,1,926278793.0301743,844948619.4932783,False,False,True,False
2022.0,679000000.0,1,671747559.274756,50000,1,532458847.7366255,669515065.2133394,True,False,False,False
2020.0,639000000.0,0,595104831.3582498,40000,1,777644893.7280196,684479673.1672529,False,False,True,False
2022.0,868000000.0,0,595104831.3582498,10000,1,777644893.7280196,925256348.8427523,False,False,True,False
2022.0,695000000.0,0,595104831.3582498,40000,1,777644893.7280196,684479673.1672529,False,False,True,False
2020.0,1999000000.0,1,1340081238.3129025,43000,1,1492717647.0292268,2112596225.50402,False,False,True,False
2021.0,620000000.0,0,595104831.3582498,60000,1,602770814.6821845,634561830.7758878,False,False,True,False
