car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Kia Carnival 2.2D Signature,2022,1 tỉ 360 triệu,Trong nước,MPV,70.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-kia-carnival-ha-noi/xe-gia-dinh-can-ban-aidxc23065805
Honda CR-V 1.5 L,2023,985 triệu,Trong nước,SUV,7.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-honda-cr-v-hcm/sensing-cuoi-2023-odo-chi-7000-km-cuc-ky-moi-aidxc23065792
Mazda 3 1.5L Luxury,2018,475 triệu,Trong nước,Sedan,40.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hcm/odo-chi-40000km-cuc-sieu-luot-aidxc23065793
Mazda 3 Sedan 1.5L Luxury,2022,620 triệu,Trong nước,Sedan,7.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-ha-noi/xe-moi-di-7000km-aidxc23042525
Chevrolet Colorado LT 2.5 MT 4x2,2017,385 triệu,Trong nước,Bán Tải,90.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-chevrolet-colorado-ha-noi/gia-385tr-aidxc23017346
Nissan Navara EL premium r 2.5 AT,2018,445 triệu,Trong nước,Bán Tải,86.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-nissan-navara-ha-noi/gia-445tr-aidxc23015934
Toyota Wigo 1.2 G AT,2022,350 triệu,Nhập khẩu,Hatchback,31.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-wigo-hcm/xe-nhap-khau-sieu-cop-2-van-km-con-bao-hanh-chinh-hang-aidxc23065018
Mitsubishi Xpander 1.5 AT,2020,540 triệu,Nhập khẩu,SUV,22.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mitsubishi-xpander-hcm/xe-mau-trang-sieu-cop-full-lich-su-hang-co-bao-hanh-bao-check-hang-aidxc23064493
Mercedes-Benz S550,2006,360 triệu,Nhập khẩu,Sedan,8.700 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-s550-ha-noi/toi-can-ban-s-550-sx-2006-chinh-chu-xe-ban-du-xe-rat-dep-aidxc23052400
Hyundai Grand i10,2015,188 triệu,Nhập khẩu,,01 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-ha-noi/nhap-han-aidxc23042676
Toyota Corolla Altis 2.0V,2009,310 triệu,Nhập khẩu,Sedan,90.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-corolla-altis-ha-noi/310tr-aidxc23045912
Ford Everest Ambiente 2.0 AT 4x2,2018,780 triệu,Nhập khẩu,SUV,95.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-everest-hcm/bao-hanh-hang-1-nam-aidxc23059927
Hyundai Avante,2016,247 triệu,Trong nước,,01 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-avante-ha-noi/lan-banh-2016-mau-trang-ep-nha-di-it-va-giu-gin-nen-xe-con-rat-moi-aidxc23058744
Hyundai Veracruz,2009,270 triệu,Nhập khẩu,SUV,12.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-veracruz-ha-noi/gd-ban-huynh-dai-37-v6-sx2009-5-cho-nhap-khau-chinh-chu-aidxc23052399
Toyota Camry MT,2004,139 triệu,Trong nước,,01 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-camry-ha-noi/xe-gia-dinh-di-nen-con-moi-so-voi-doi-duoc-bao-duong-dinh-ki-aidxc23063801
Lexus RX 300,2023,3 tỉ 180 triệu,Nhập khẩu,SUV,10.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-lexus-rx-300-ha-noi/ve-ngoai-manh-me-thu-hut-moi-anh-nhin-aidxc23062175
Lexus RX 350,2024,3 tỉ 430 triệu,Nhập khẩu,,5.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-lexus-rx-350-ha-noi/sang-trong-the-thao-khoe-khoan-aidxc23062168
Lexus IS 350,2007,559 triệu,Nhập khẩu,Sedan,68.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-lexus-is-350-hcm/mau-den-up-ful-model-2020-sieu-dep-aidxc23054514
Mercedes-Benz C300 AMG,2019,1 tỉ 179 triệu,Trong nước,Sedan,37.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-c300-hcm/mau-den-zin-1-doi-chu-aidxc23048329
Mercedes-Benz E200 2.0 I4,2019,1 tỉ 179 triệu,Trong nước,Sedan,50.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-e200-hcm/mau-do-noi-that-den-sieu-dep-aidxc23062139
Mercedes-Benz GLA 250 4Matic,2015,678 triệu,Nhập khẩu,SUV,46.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-gla-250-hcm/gam-cao-4matic-mau-nau-dep-xuat-sac-aidxc23061878
VinFast VF9 Premium,2023,1 tỉ 259 triệu,Trong nước,MPV,11.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-vinfast-vf9-hcm/plus-6-cho-model-2024-odo-11111-miles-tu-hao-thuong-hieu-viet-aidxc23047550
Mercedes-Benz GLC 300 4Matic V1,2017,1 tỉ 159 triệu,Trong nước,SUV,20.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-glc-300-hcm/mau-nau-sieu-cop-hiem-co-aidxc23054509
Mercedes-Benz GLS 450 4Matic,2022,4 tỉ 659 triệu,Nhập khẩu,SUV,3.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-gls-450-hcm/ban-v1-mau-trang-sieu-luot-chi-3000-km-aidxc23064303
Lexus LX 600 Ultra Luxury,2024,8 tỉ 500 triệu,Nhập khẩu,,8.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-lexus-lx-600-ha-noi/ho-tro-ngan-hang-thu-tuc-nhanh-uy-tin-aidxc23062173
MG 5 1.5L Luxury,2023,560 triệu,Nhập khẩu,Sedan,2.833 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mg-5-hcm/xe-moi-di-hon-2000-km-aidxc23047212
Ford Ranger Wildtrak 4x4 AT,2022,790 triệu,Trong nước,Bán Tải,33.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/len-nhieu-trang-bi-xe-luot-dep-aidxc23042139
Kia K3 1.6MT,2016,358 triệu,Trong nước,,75.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-kia-k3-hai-phong/xe-danh-cho-gia-dinh-gia-ca-thuong-luong-aidxc23048378
Kia Cerato 1.6 MT,2016,348 triệu,Trong nước,,100.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-kia-cerato-hai-phong/xe-chuan-gia-dinh-co-thuong-luong-gia-aidxc23054819
Kia K3 1.6MT,2013,298 triệu,Trong nước,,89.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-kia-k3-hai-phong/xe-gia-dinh-dieu-hoa-mat-lanh-gia-hon-200-aidxc23040345
Mazda 3 1.5L Sedan,2017,448 triệu,Trong nước,,89.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hai-phong/facelift-xe-tu-nhan-chinh-chu-aidxc23048384
Kia Cerato 1.6 AT,2019,498 triệu,Trong nước,,76.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-cerato-hai-phong/trang-ngoc-trinh-dep-me-aidxc23048373
Hyundai Grand i10,2017,218 triệu,Nhập khẩu,,56.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-hai-phong/nhap-khau-may-tiet-kiem-xang-aidxc23048377
MG 5 1.5L Luxury,2023,510 triệu,Nhập khẩu,Sedan,6.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mg-5-hcm/sieu-luot-6000km-aidxc23053397
Toyota Corolla Cross 1.8 V,2022,805 triệu,Nhập khẩu,SUV,5.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-corolla-cross-ha-noi/gia-con-cuc-tot-aidxc23065509
Mercedes-Benz GLC 250 4Matic,2016,889 triệu,Trong nước,,100.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-glc-250-hai-duong/xe-cuc-chat-cam-ket-chat-luong-aidxc23065505
Mercedes-Benz C300 AMG,2022,1 tỉ 889 triệu,Trong nước,Sedan,4.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-c300-hcm/sieu-luot-4000km-dk-112023-aidxc23065390
Audi A8 L 55 TFSI quattro,2020,2 tỉ 949 triệu,Nhập khẩu,,30.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-audi-a8-hcm/xe-nhap-my-di-30-nghin-like-new-99-aidxc23039457
Hyundai Kona 1.6 Turbo,2018,505 triệu,Trong nước,SUV,78.999 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-kona-ha-noi/mot-chu-tu-moi-chay-8-van-km-aidxc23065351
Toyota Camry 2.0G,2022,979 triệu,Nhập khẩu,Sedan,13.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-camry-hcm/tiet-kiem-ngay-gan-400tr-aidxc23065252
Kia K3 1.6 Premium,2022,589 triệu,Trong nước,Sedan,12.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-k3-hai-phong/16-premium-2022-aidxc23047148
Mazda 3 Sport 1.5L Luxury,2022,595 triệu,Trong nước,Sedan,20.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-3-hai-phong/15-luxury-2022-aidxc23049461
Toyota Veloz Cross 1.5 CVT,2022,580 triệu,Nhập khẩu,MPV,60.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-veloz-cross-vinh-phuc/ban-sx-2022-aidxc23025561
