year,price,assemble_place,series,km,transmission,brand,model,engine_type_Dầu,engine_type_Hybrid,engine_type_Xăng,engine_type_Điện
2020,899000000.0,0,1311185155.3045583,60000,1,598582076.3087844,1009013318.0338609,True,False,False,False
2018,568000000.0,0,1311185155.3045583,80000,1,598582076.3087844,502539790.10287535,False,False,True,False
2022,929000000.0,0,1311185155.3045583,50000,1,615941062.8019323,951717475.71426,False,False,True,False
2022,369000000.0,1,869486499.8761456,25000,0,460170579.7411802,377083260.3442258,False,False,True,False
2011,4900000000.0,1,869486499.8761456,80000,1,1580050342.2877364,4774253322.30455,False,False,True,False
2023,465000000.0,0,869486499.8761456,15000,1,619890078.5153462,432717557.02599126,False,False,True,False
2013,459000000.0,0,1311185155.3045583,100000,1,597649694.5010183,467730681.4202011,False,False,True,False
2021,305000000.0,1,365127604.1666667,60000,1,894757575.7575758,354334860.9919033,False,False,True,False
2013,335000000.0,1,365127604.1666667,50000,1,894757575.7575758,266268444.88992545,False,False,True,False
2018,638000000.0,0,1311185155.3045583,75000,1,615941062.8019323,601419693.7968066,False,False,True,False
2022,1145000000.0,0,1311185155.3045583,20000,1,619890078.5153462,1107878838.2689896,True,False,False,False
2022,3368000000.0,1,869486499.8761456,14000,1,1437003831.402568,3222007352.6239915,False,False,True,False
2015,1179000000.0,1,869486499.8761456,104000,1,2491556000.0,1736206887.9240887,False,False,True,False
2018,288000000.0,1,365127604.1666667,57000,1,894757575.7575758,292822348.17158914,False,False,True,False
2021,565000000.0,0,869486499.8761456,22000,1,615941062.8019323,573440652.796361,False,False,True,False
2018,745000000.0,1,1311185155.3045583,40000,1,597649694.5010183,868534255.2222506,False,False,True,False
2016,600000000.0,1,1311185155.3045583,78000,1,1638801954.3973942,557933611.143775,False,False,True,False
2021,1799000000.0,1,869486499.8761456,24000,1,1437003831.402568,963577114.0299644,False,False,True,False
2020,730000000.0,0,1311185155.3045583,63000,1,615941062.8019323,743915122.0266666,False,False,True,False
2022,760000000.0,0,1311185155.3045583,25000,1,598582076.3087844,758772348.7930722,True,False,False,False
2021,750000000.0,0,585967971.5302491,19000,1,619890078.5153462,783772647.5202554,False,False,True,False
2020,340000000.0,0,869486499.8761456,54000,1,619890078.5153462,329309165.51239985,False,False,True,False
2018,428000000.0,0,1311185155.3045583,70000,1,746060164.083865,406012078.4875256,False,False,True,False
2017,358000000.0,0,1311185155.3045583,120000,1,746060164.083865,406012078.4875256,False,False,True,False
2019,590000000.0,1,670343532.6842837,75000,1,894757575.7575758,590814875.9331063,True,False,False,False
2021,889000000.0,1,869486499.8761456,60000,1,894757575.7575758,844894278.2198472,False,False,True,False
2022,679000000.0,1,670343532.6842837,50000,1,517867850.09861934,669514302.0020559,True,False,False,False
2020,639000000.0,0,585967971.5302491,40000,1,779925386.934662,684473478.6666083,False,False,True,False
2022,868000000.0,0,585967971.5302491,10000,1,779925386.934662,925243953.3364578,False,False,True,False
2022,695000000.0,0,585967971.5302491,40000,1,779925386.934662,684473478.6666083,False,False,True,False
2020,1999000000.0,1,1311185155.3045583,43000,1,1437003831.402568,2111179407.3922977,False,False,True,False
2021,620000000.0,0,585967971.5302491,60000,1,598582076.3087844,634550031.0102328,False,False,True,False
2020,940000000.0,1,670343532.6842837,70000,1,746060164.083865,985414807.9709796,True,False,False,False
2018,755000000.0,1,1311185155.3045583,50000,1,894757575.7575758,671565584.6698112,False,False,True,False
2022,555000000.0,1,585967971.5302491,50000,1,615941062.8019323,550255114.8943282,False,False,True,False
2021,759000000.0,1,1311185155.3045583,20000,1,894757575.7575758,771121558.4235364,False,False,True,False
2022,435000000.0,0,869486499.8761456,8000,0,894757575.7575758,415375742.82388073,False,False,True,False
2022,1055000000.0,0,1311185155.3045583,40000,1,598582076.3087844,1009013318.0338609,True,False,False,False
2013,255000000.0,0,365127604.1666667,120000,1,746060164.083865,231402561.30072173,False,False,True,False
2021,4399000000.0,1,1311185155.3045583,10000,1,1638801954.3973942,4230017700.497753,False,False,True,False
2021,1829000000.0,0,1311185155.3045583,28000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2022,1399000000.0,0,1311185155.3045583,17000,1,1638801954.3973942,1360602485.6939301,False,False,True,False
2020,945000000.0,0,1050158823.5294118,39000,1,598582076.3087844,905948880.3221868,True,False,False,False
2016,679000000.0,1,869486499.8761456,88000,1,1437003831.402568,579594511.8914381,False,False,True,False
2022,339000000.0,0,365127604.1666667,21000,1,587584821.4285715,342673754.59915257,False,False,True,False
2015,238000000.0,0,869486499.8761456,86000,0,619890078.5153462,246920208.28810248,False,False,True,False
2021,999000000.0,0,1311185155.3045583,50000,1,619890078.5153462,1085598240.559433,False,False,True,False
2019,495000000.0,0,869486499.8761456,58000,1,619890078.5153462,508073021.3373592,False,False,True,False
2019,339000000.0,0,365127604.1666667,40000,1,619890078.5153462,329309165.51239985,False,False,True,False
2021,2650000000.0,1,1311185155.3045583,57000,1,1661792649.5185814,2639047575.270926,False,False,True,False
2022,2700000000.0,1,1311185155.3045583,60000,1,1661792649.5185814,2639047575.270926,False,False,True,False
2018,685000000.0,0,1311185155.3045583,100000,1,779925386.934662,691180896.0805844,False,False,True,False
2007,260000000.0,1,1311185155.3045583,120000,1,391172572.33661175,259001549.05292517,True,False,False,False
2020,760000000.0,0,1311185155.3045583,100000,1,587584821.4285715,806826623.2093493,False,False,True,False
2018,633000000.0,0,585967971.5302491,80000,1,619890078.5153462,722736669.2845519,False,False,True,False
2022,1168000000.0,0,1311185155.3045583,36000,1,619890078.5153462,1107878838.2689896,True,False,False,False
2015,1739000000.0,1,1050158823.5294118,61000,1,894757575.7575758,1499468426.0471356,False,False,True,False
2019,1999000000.0,1,1958786274.283173,8000,1,746060164.083865,1999000000.0,False,False,True,False
2011,186000000.0,0,365127604.1666667,100000,1,598582076.3087844,180281646.01178688,False,False,True,False
2021,1065000000.0,0,1311185155.3045583,38000,1,619890078.5153462,1107878838.2689896,True,False,False,False
2022,1329000000.0,1,869486499.8761456,54000,1,894757575.7575758,1333811853.2042844,False,True,False,False
2014,290000000.0,1,585967971.5302491,15000,1,1061786662.3768337,963577114.0299644,False,False,True,False
2022,770000000.0,0,670343532.6842837,5000,1,746060164.083865,765148393.5613514,True,False,False,False
2020,980000000.0,1,869486499.8761456,28000,1,894757575.7575758,898592279.271724,False,False,True,False
2022,518000000.0,1,1311185155.3045583,6120,1,894757575.7575758,514329548.1061595,False,False,True,False
2008,525000000.0,1,1311185155.3045583,100000,1,2491556000.0,1604030770.3663225,False,False,True,False
2021,820000000.0,1,1311185155.3045583,20000,1,894757575.7575758,806393358.3418401,False,True,False,False
2019,633000000.0,1,670343532.6842837,70000,1,746060164.083865,765148393.5613514,True,False,False,False
2010,270000000.0,0,869486499.8761456,16000,1,1638801954.3973942,273052013.9396054,False,False,True,False
2008,280000000.0,0,869486499.8761456,15000,1,894757575.7575758,502335162.32890004,False,False,True,False
2014,315000000.0,0,869486499.8761456,83000,1,746060164.083865,348370719.5835927,False,False,True,False
2022,398000000.0,1,869486499.8761456,37000,1,615941062.8019323,383071740.77113277,False,False,True,False
2022,498000000.0,0,869486499.8761456,39200,1,597649694.5010183,519072971.7468746,False,False,True,False
2016,515000000.0,0,1311185155.3045583,70000,1,598582076.3087844,502539790.10287535,False,False,True,False
2016,445000000.0,1,1311185155.3045583,50000,1,1061786662.3768337,963577114.0299644,False,False,True,False
2021,579000000.0,1,1311185155.3045583,12600,1,517867850.09861934,524681554.71759623,False,False,True,False
2017,1129000000.0,0,1311185155.3045583,43000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2019,595000000.0,1,585967971.5302491,71000,1,597649694.5010183,585057131.0852218,False,False,True,False
2019,858000000.0,0,1311185155.3045583,108000,1,619890078.5153462,915480443.3113263,True,False,False,False
2022,5488000000.0,1,670343532.6842837,12262,1,1061786662.3768337,5026232080.034884,False,False,True,False
2013,335000000.0,1,365127604.1666667,78999,1,894757575.7575758,326601656.7025109,False,False,True,False
2021,455000000.0,0,869486499.8761456,33333,1,597649694.5010183,453791553.9676616,False,False,True,False
2022,836000000.0,0,1311185155.3045583,20000,1,615941062.8019323,806326894.6341593,False,False,True,False
2018,735000000.0,0,1311185155.3045583,60000,1,619890078.5153462,698336019.3764288,False,False,True,False
2022,579000000.0,0,585967971.5302491,1100,1,598582076.3087844,571786013.9434265,False,False,True,False
2021,769000000.0,1,1311185155.3045583,25000,1,894757575.7575758,771121558.4235364,False,False,True,False
2022,1059000000.0,1,869486499.8761456,8000,1,597649694.5010183,980876143.9023348,False,False,True,False
2014,1250000000.0,0,869486499.8761456,90000,1,1638801954.3973942,1355122864.6117113,False,False,True,False
2021,1635000000.0,0,1311185155.3045583,45000,1,1638801954.3973942,1685044019.7860174,False,False,True,False
2020,540000000.0,0,869486499.8761456,60000,1,615941062.8019323,573440652.796361,False,False,True,False
2023,465000000.0,0,869486499.8761456,15000,1,619890078.5153462,432717557.02599126,False,False,True,False
2022,2458000000.0,1,1958786274.283173,2345,1,1437003831.402568,2458399539.1618323,False,False,True,False
2023,670000000.0,0,670343532.6842837,43000,1,746060164.083865,661775423.4655406,True,False,False,False
2021,1269000000.0,0,869486499.8761456,35405,1,1638801954.3973942,1136734283.1347647,False,False,True,False
2017,450000000.0,0,869486499.8761456,76000,1,615941062.8019323,439754548.10094404,False,False,True,False
2023,905000000.0,0,670343532.6842837,3700,1,746060164.083865,765148393.5613514,True,False,False,False
2015,570000000.0,1,585967971.5302491,110000,1,598582076.3087844,575033188.1306937,False,False,True,False
2020,2050000000.0,1,1311185155.3045583,39000,1,2491556000.0,1753395236.8634849,False,False,True,False
2021,869000000.0,1,869486499.8761456,73000,1,894757575.7575758,844894278.2198472,False,False,True,False
2022,555000000.0,0,869486499.8761456,35000,1,615941062.8019323,551323304.9033501,False,False,True,False
2019,499000000.0,0,365127604.1666667,5000,1,615941062.8019323,523338648.8997659,False,False,True,False
2022,1035000000.0,0,1311185155.3045583,33000,1,598582076.3087844,1009013318.0338609,True,False,False,False
2020,545000000.0,1,1311185155.3045583,20000,1,517867850.09861934,524681554.71759623,False,False,True,False
2022,630000000.0,0,869486499.8761456,28000,1,587584821.4285715,626159976.8588506,False,False,True,False
2012,460000000.0,1,585967971.5302491,110000,1,1133343531.3888328,549824715.9775432,False,False,True,False
2010,255000000.0,1,365127604.1666667,9000,1,894757575.7575758,266268444.88992545,False,False,True,False
2012,295000000.0,0,869486499.8761456,10000,1,597649694.5010183,285893406.4498901,False,False,True,False
2014,335000000.0,0,869486499.8761456,85000,1,615941062.8019323,329341465.2408571,False,False,True,False
2015,655000000.0,0,869486499.8761456,100000,1,1638801954.3973942,750996115.7334466,False,False,True,False
2018,350000000.0,1,365127604.1666667,61000,1,597649694.5010183,347508519.2798088,False,False,True,False
2021,2930000000.0,1,1311185155.3045583,33000,1,2491556000.0,2707889437.0224853,False,False,True,False
2015,2685000000.0,1,1311185155.3045583,80000,1,1451148379.4584,2698744439.444403,False,False,True,False
2014,445000000.0,1,869486499.8761456,110000,1,1133343531.3888328,493028687.3733628,False,False,True,False
2011,395000000.0,0,1311185155.3045583,160000,1,1638801954.3973942,389671584.1484899,False,False,True,False
2019,585000000.0,0,1311185155.3045583,72000,1,598582076.3087844,596606307.5164098,False,False,True,False
2014,1250000000.0,0,869486499.8761456,71000,1,1638801954.3973942,1355122864.6117113,False,False,True,False
